Từ vựng,Nghĩa,Loại từ,Giống,Số nhiều,Giới từ,Ghi chú
Apfel,Quả táo,noun,der,Äpfel,,Quả táo màu đỏ ngọt ngào
Buch,Quyển sách,noun,das,Bücher,,Quyển sách học tiếng Đức B1
Frau,Người phụ nữ / Vợ,noun,die,Frauen,,Người phụ nữ thông minh
Mann,Người đàn ông / Chồng,noun,der,Männer,,Người đàn ông lịch lãm
Kind,Đứa trẻ,noun,das,Kinder,,Đứa trẻ đang chơi đùa
gehen,Đi,verb,,,,Đi bộ đến trường học
haben,Có,verb,,,,Tôi có một chiếc xe hơi (Ich habe ein Auto)
sein,Thì / Là / Ở,verb,,,,Tôi là học sinh (Ich bin Schüler)
lernen,Học,verb,,,,Học từ vựng tiếng Đức mỗi ngày
schreiben,Viết,verb,,,,Viết thư cho người thân
schön,Đẹp,adj,,,,Thời tiết hôm nay rất đẹp
schnell,Nhanh,adj,,,,Chiếc xe chạy rất nhanh
gut,Tốt / Ngon,adj,,,,Món ăn này rất tốt cho sức khỏe
alt,Cũ / Già,adj,,,,Ngôi nhà cổ kính
neu,Mới,adj,,,,Điện thoại mới mua
heute,Hôm nay,adv,,,,Hôm nay tôi được nghỉ làm
morgen,Ngày mai,adv,,,,Ngày mai gặp lại nhé
sehr,Rất,adv,,,,Tôi rất thích nước Đức
hier,Ở đây,adv,,,,Hãy đợi tôi ở đây
da,Ở đó,adv,,,,Quyển sách nằm ở đó
mit,Với,prep,,,,Đi cùng với bạn thân
in,Trong / Vào trong,prep,,,,Sống ở trong thành phố (in der Stadt)
zu,Đến,prep,,,,Đi đến nhà ga (zum Bahnhof)
auf,Trên,prep,,,,Quyển sách trên bàn (auf dem Tisch)
für,Cho / Dành cho,prep,,,,Món quà này dành cho bạn
ich,Tôi,pron,,,,Đại từ nhân xưng ngôi thứ nhất số ít
du,Bạn,pron,,,,Đại từ nhân xưng ngôi thứ hai số ít
er,Anh ấy,pron,,,,Đại từ nhân xưng ngôi thứ ba số ít (nam)
sie,Cô ấy / Họ,pron,,,,Đại từ nhân xưng ngôi thứ ba số ít (nữ) / số nhiều
es,Nó,pron,,,,Đại từ nhân xưng ngôi thứ ba số ít (trung)
und,Và,conj,,,,Tôi và bạn cùng đi học
aber,Nhưng,conj,,,,Rất mệt nhưng vẫn vui
oder,Hoặc,conj,,,,Cà phê hoặc trà
weil,Bởi vì,conj,,,,Tôi nghỉ vì bị ốm (weil ich krank bin)
dass,Rằng / Là,conj,,,,Tôi nghĩ rằng bạn đúng
der,Mạo từ xác định (Giống đực),article,,,,Đứng trước danh từ giống đực
die,Mạo từ xác định (Giống cái),article,,,,Đứng trước danh từ giống cái
das,Mạo từ xác định (Giống trung),article,,,,Đứng trước danh từ giống trung
ein,Mạo từ không xác định (Đực / Trung),article,,,,Một cái gì đó không xác định
eine,Mạo từ không xác định (Cái),article,,,,Một người phụ nữ (eine Frau)
Guten Morgen,Chào buổi sáng,phrase,,,,Lời chào thân thiện vào buổi sáng
Wie geht es dir?,Bạn khỏe không?,phrase,,,,Câu hỏi thăm sức khỏe thông dụng
Vielen Dank,Cảm ơn rất nhiều,phrase,,,,Lời cảm ơn chân thành
Es tut mir leid,Tôi xin lỗi,phrase,,,,Lời xin lỗi lịch sự
Mahlzeit!,Chúc ngon miệng!,phrase,,,,Lời chúc trước bữa ăn của người Đức
Auf Wiedersehen,Tạm biệt,phrase,,,,Lời chào tạm biệt trang trọng
Ich liebe dich,Tôi yêu bạn,phrase,,,,Lời bày tỏ tình cảm
Keine Ahnung,Tôi không biết / Không có ý kiến gì,phrase,,,,Cách nói khẩu ngữ khi không biết
Macht nichts,Không sao đâu / Không có gì,phrase,,,,Lời an ủi lịch sự khi ai đó xin lỗi
Alles Klar,Mọi thứ rõ ràng / Hiểu rồi,phrase,,,,Cách xác nhận đã hiểu vấn đề
